customer_id,invoice_id,payment_id,customer_segment,credit_limit,invoice_date,due_date,payment_term_days,invoice_amount,amount_paid,balance_due,invoice_status,late_payment,payment_date,payment_amount
CUST-000231,INV-0000013,PAY-0000013,Mid-Market,31940.02,2024-01-01,2024-02-15,45,4562.82,4562.82,0.0,Paid,False,2024-02-12,4562.82
CUST-000245,INV-0000014,PAY-0000014,Mid-Market,19125.73,2024-01-06,2024-02-05,30,480.25,480.25,0.0,Paid,True,2024-02-05,224.65
CUST-000245,INV-0000014,PAY-0000015,Mid-Market,19125.73,2024-01-06,2024-02-05,30,480.25,480.25,0.0,Paid,True,2024-02-09,255.6
CUST-000270,INV-0000015,PAY-0000016,Enterprise,129695.85,2024-01-06,2024-01-21,15,1704.92,1704.92,0.0,Paid,False,2024-01-16,1704.92
CUST-000277,INV-0000016,PAY-0000017,Mid-Market,46766.92,2024-01-07,2024-02-06,30,782.6,782.6,0.0,Paid,True,2024-02-26,782.6
CUST-000296,INV-0000017,PAY-0000018,Mid-Market,65606.32,2024-01-02,2024-02-16,45,671.63,671.63,0.0,Paid,True,2024-03-02,671.63
CUST-000305,INV-0000018,PAY-0000019,Enterprise,303087.14,2024-01-04,2024-03-04,60,9099.65,9099.65,0.0,Paid,False,2024-03-03,9099.65
CUST-000326,INV-0000019,PAY-0000020,Mid-Market,30004.99,2024-01-02,2024-02-01,30,743.19,743.19,0.0,Paid,True,2024-02-06,743.19
CUST-000364,INV-0000020,PAY-0000021,Enterprise,201458.6,2024-01-04,2024-02-18,45,413.34,413.34,0.0,Paid,True,2024-03-06,413.34
CUST-000369,INV-0000021,PAY-0000022,Enterprise,272228.41,2024-01-04,2024-03-04,60,85.75,85.75,0.0,Paid,False,2024-03-04,85.75
CUST-000391,INV-0000022,PAY-0000023,Enterprise,176307.31,2024-01-07,2024-02-21,45,3808.37,3808.37,0.0,Paid,True,2024-03-08,3808.37
CUST-000391,INV-0000023,PAY-0000024,Enterprise,176307.31,2024-01-06,2024-02-20,45,103.88,103.88,0.0,Paid,False,2024-02-10,103.88
CUST-000401,INV-0000024,PAY-0000025,Small Business,2808.59,2024-01-07,2024-02-06,30,3705.36,3705.36,0.0,Paid,False,2024-01-28,3705.36
CUST-000408,INV-0000025,PAY-0000026,Small Business,11294.37,2024-01-02,2024-02-01,30,166.36,166.36,0.0,Paid,False,2024-01-31,166.36
CUST-000415,INV-0000026,PAY-0000027,Mid-Market,43490.69,2024-01-05,2024-02-04,30,1140.61,1140.61,0.0,Paid,False,2024-01-30,1140.61
CUST-000429,INV-0000027,PAY-0000028,Mid-Market,69888.17,2024-01-04,2024-02-03,30,358.69,358.69,0.0,Paid,False,2024-01-30,358.69
CUST-000473,INV-0000028,PAY-0000029,Mid-Market,32387.49,2024-01-03,2024-02-02,30,315.75,315.75,0.0,Paid,False,2024-01-23,315.75
CUST-000535,INV-0000029,PAY-0000030,Mid-Market,38361.69,2024-01-05,2024-02-04,30,208.3,208.3,0.0,Paid,True,2024-03-01,208.3
CUST-000550,INV-0000030,PAY-0000031,Small Business,4882.48,2024-01-03,2024-02-17,45,294.97,294.97,0.0,Paid,False,2024-02-17,294.97
CUST-000556,INV-0000031,PAY-0000032,Small Business,7325.64,2024-01-05,2024-01-20,15,436.9,436.9,0.0,Paid,False,2024-01-11,436.9
CUST-000564,INV-0000032,PAY-0000033,Small Business,12732.48,2024-01-04,2024-02-03,30,654.37,654.37,0.0,Paid,False,2024-01-25,654.37
CUST-000590,INV-0000033,PAY-0000034,Small Business,3597.65,2024-01-01,2024-01-16,15,1266.63,1266.63,0.0,Paid,False,2024-01-15,1266.63
CUST-000598,INV-0000034,PAY-0000035,Small Business,14965.37,2024-01-05,2024-02-04,30,73.61,73.61,0.0,Paid,False,2024-01-30,73.61
CUST-000630,INV-0000035,PAY-0000036,Mid-Market,68500.28,2024-01-03,2024-02-02,30,214.62,214.62,0.0,Paid,False,2024-01-28,214.62
CUST-000640,INV-0000036,PAY-0000037,Enterprise,91464.17,2024-01-04,2024-03-04,60,74.11,74.11,0.0,Paid,False,2024-02-29,74.11
CUST-000640,INV-0000037,PAY-0000038,Enterprise,91464.17,2024-01-02,2024-03-02,60,1325.41,1325.41,0.0,Paid,False,2024-02-21,1325.41
CUST-000642,INV-0000038,PAY-0000039,Enterprise,371414.82,2024-01-03,2024-02-17,45,40.68,40.68,0.0,Paid,False,2024-02-14,40.68
CUST-000642,INV-0000039,PAY-0000040,Enterprise,371414.82,2024-01-03,2024-02-17,45,292.48,292.48,0.0,Paid,True,2024-02-22,292.48
CUST-000650,INV-0000040,PAY-0000041,Mid-Market,27687.3,2024-01-02,2024-02-16,45,307.94,307.94,0.0,Paid,True,2024-02-25,307.94
CUST-000653,INV-0000041,PAY-0000042,Small Business,14871.23,2024-01-05,2024-02-04,30,344.35,344.35,0.0,Paid,True,2024-02-03,114.95
CUST-000653,INV-0000041,PAY-0000043,Small Business,14871.23,2024-01-05,2024-02-04,30,344.35,344.35,0.0,Paid,True,2024-02-06,229.4
CUST-000682,INV-0000042,PAY-0000044,Mid-Market,59637.86,2024-01-04,2024-02-03,30,24.37,24.37,0.0,Paid,True,2024-02-20,24.37
CUST-000702,INV-0000043,PAY-0000045,Mid-Market,55876.45,2024-01-06,2024-02-05,30,263.44,263.44,0.0,Paid,True,2024-02-02,162.56
CUST-000702,INV-0000043,PAY-0000046,Mid-Market,55876.45,2024-01-06,2024-02-05,30,263.44,263.44,0.0,Paid,True,2024-02-21,100.88
CUST-000702,INV-0000044,PAY-0000047,Mid-Market,55876.45,2024-01-05,2024-02-04,30,124.0,124.0,0.0,Paid,True,2024-02-15,124.0
CUST-000708,INV-0000045,PAY-0000048,Small Business,5620.04,2024-01-05,2024-02-19,45,154.46,154.46,0.0,Paid,True,2024-02-29,154.46
CUST-000720,INV-0000046,PAY-0000049,Enterprise,280151.3,2024-01-03,2024-02-02,30,52.57,52.57,0.0,Paid,False,2024-01-28,52.57
CUST-000770,INV-0000047,PAY-0000050,Enterprise,257539.97,2024-01-02,2024-03-02,60,2900.19,2900.19,0.0,Paid,True,2024-02-26,985.35
CUST-000770,INV-0000047,PAY-0000051,Enterprise,257539.97,2024-01-02,2024-03-02,60,2900.19,2900.19,0.0,Paid,True,2024-03-11,1914.84
CUST-000772,INV-0000048,PAY-0000052,Enterprise,115869.31,2024-01-05,2024-02-19,45,712.18,712.18,0.0,Paid,False,2024-02-11,712.18
CUST-000773,INV-0000049,PAY-0000053,Small Business,4065.16,2024-01-05,2024-02-04,30,272.26,272.26,0.0,Paid,False,2024-02-04,272.26
CUST-000775,INV-0000050,PAY-0000054,Small Business,12466.35,2024-01-07,2024-02-06,30,20.35,20.35,0.0,Paid,False,2024-01-29,20.35
CUST-000786,INV-0000051,PAY-0000055,Small Business,8675.38,2024-01-07,2024-02-06,30,3644.48,3644.48,0.0,Paid,True,2024-02-18,3644.48
CUST-000806,INV-0000052,PAY-0000056,Small Business,5590.51,2024-01-02,2024-01-17,15,1170.51,1170.51,0.0,Paid,False,2024-01-07,1170.51
CUST-000815,INV-0000053,PAY-0000057,Mid-Market,34886.74,2024-01-04,2024-02-18,45,166.84,166.84,0.0,Paid,False,2024-02-09,166.84
CUST-000826,INV-0000054,PAY-0000058,Mid-Market,37989.29,2024-01-05,2024-02-04,30,81.3,81.3,0.0,Paid,False,2024-02-04,81.3
CUST-000839,INV-0000055,PAY-0000059,Mid-Market,40994.47,2024-01-02,2024-02-01,30,57.07,57.07,0.0,Paid,False,2024-01-27,57.07
CUST-000845,INV-0000056,PAY-0000060,Enterprise,346440.2,2024-01-02,2024-02-16,45,126.27,126.27,0.0,Paid,True,2024-02-12,74.8
CUST-000845,INV-0000056,PAY-0000061,Enterprise,346440.2,2024-01-02,2024-02-16,45,126.27,126.27,0.0,Paid,True,2024-03-08,51.47
CUST-000858,INV-0000057,PAY-0000062,Small Business,3177.74,2024-01-02,2024-02-01,30,73.9,73.9,0.0,Paid,True,2024-02-12,73.9
CUST-000888,INV-0000058,PAY-0000063,Mid-Market,18992.59,2024-01-02,2024-02-16,45,234.34,234.34,0.0,Paid,False,2024-02-10,234.34
CUST-000899,INV-0000059,PAY-0000064,Mid-Market,50636.88,2024-01-01,2024-01-31,30,16.02,16.02,0.0,Paid,False,2024-01-24,16.02
CUST-000923,INV-0000060,PAY-0000065,Mid-Market,18388.41,2024-01-03,2024-02-02,30,67.71,67.71,0.0,Paid,False,2024-01-27,67.71
CUST-000937,INV-0000061,PAY-0000066,Mid-Market,10276.02,2024-01-05,2024-01-20,15,20826.38,20826.38,0.0,Paid,True,2024-01-16,10680.32
CUST-000937,INV-0000061,PAY-0000067,Mid-Market,10276.02,2024-01-05,2024-01-20,15,20826.38,20826.38,0.0,Paid,True,2024-02-07,10146.06
CUST-000958,INV-0000062,PAY-0000068,Enterprise,239253.2,2024-01-02,2024-02-16,45,66.2,66.2,0.0,Paid,False,2024-02-09,66.2
CUST-000961,INV-0000063,PAY-0000069,Mid-Market,67224.05,2024-01-04,2024-02-03,30,389.1,389.1,0.0,Paid,True,2024-03-11,389.1
CUST-000972,INV-0000064,PAY-0000070,Small Business,9028.8,2024-01-03,2024-01-18,15,197.6,197.6,0.0,Paid,False,2024-01-13,197.6
CUST-001041,INV-0000065,PAY-0000071,Enterprise,99041.76,2024-01-05,2024-02-19,45,2743.46,2743.46,0.0,Paid,False,2024-02-09,2743.46
CUST-001055,INV-0000066,PAY-0000072,Mid-Market,47142.71,2024-01-04,2024-02-18,45,977.74,977.74,0.0,Paid,False,2024-02-10,977.74
CUST-001085,INV-0000067,PAY-0000073,Enterprise,414723.84,2024-01-06,2024-01-21,15,1454.2,1454.2,0.0,Paid,False,2024-01-15,1454.2
CUST-001085,INV-0000068,PAY-0000074,Enterprise,414723.84,2024-01-01,2024-01-16,15,30.2,30.2,0.0,Paid,True,2024-02-17,30.2
CUST-001146,INV-0000069,PAY-0000075,Mid-Market,27856.11,2024-01-06,2024-02-20,45,43.5,43.5,0.0,Paid,False,2024-02-20,43.5
CUST-001155,INV-0000070,PAY-0000076,Mid-Market,50289.95,2024-01-01,2024-02-15,45,60.6,60.6,0.0,Paid,True,2024-02-17,60.6
CUST-001162,INV-0000071,PAY-0000077,Mid-Market,71779.51,2024-01-02,2024-02-01,30,143.85,143.85,0.0,Paid,False,2024-02-01,143.85
CUST-001185,INV-0000072,PAY-0000078,Mid-Market,67611.73,2024-01-04,2024-02-03,30,794.65,794.65,0.0,Paid,False,2024-01-24,794.65
CUST-001197,INV-0000073,PAY-0000079,Enterprise,449252.39,2024-01-03,2024-01-18,15,123.49,123.49,0.0,Paid,True,2024-01-14,66.72
CUST-001197,INV-0000073,PAY-0000080,Enterprise,449252.39,2024-01-03,2024-01-18,15,123.49,123.49,0.0,Paid,True,2024-01-22,56.77
CUST-001197,INV-0000074,PAY-0000081,Enterprise,449252.39,2024-01-06,2024-01-21,15,284.28,284.28,0.0,Paid,True,2024-01-25,284.28
CUST-001222,INV-0000075,PAY-0000082,Enterprise,467202.12,2024-01-07,2024-02-06,30,619.27,619.27,0.0,Paid,False,2024-02-01,619.27
CUST-001222,INV-0000076,PAY-0000083,Enterprise,467202.12,2024-01-01,2024-01-31,30,1180.01,1180.01,0.0,Paid,False,2024-01-21,1180.01
CUST-001262,INV-0000077,PAY-0000084,Enterprise,446165.82,2024-01-04,2024-02-18,45,1442.21,1442.21,0.0,Paid,False,2024-02-18,1442.21
CUST-001316,INV-0000078,PAY-0000085,Small Business,11773.87,2024-01-04,2024-02-03,30,15.2,15.2,0.0,Paid,True,2024-03-21,15.2
CUST-001350,INV-0000079,PAY-0000086,Small Business,4699.21,2024-01-05,2024-01-20,15,483.6,483.6,0.0,Paid,False,2024-01-14,483.6
CUST-001365,INV-0000080,PAY-0000087,Mid-Market,25616.24,2024-01-07,2024-02-21,45,203.98,203.98,0.0,Paid,False,2024-02-21,203.98
CUST-001366,INV-0000081,PAY-0000088,Small Business,1913.12,2024-01-06,2024-01-21,15,279.43,279.43,0.0,Paid,False,2024-01-21,279.43
CUST-001398,INV-0000082,PAY-0000089,Enterprise,81397.0,2024-01-02,2024-03-02,60,1463.24,1463.24,0.0,Paid,False,2024-02-28,1463.24
CUST-001423,INV-0000083,PAY-0000090,Mid-Market,24640.18,2024-01-03,2024-02-17,45,27.6,27.6,0.0,Paid,False,2024-02-16,27.6
CUST-001452,INV-0000084,PAY-0000091,Mid-Market,54669.35,2024-01-02,2024-02-16,45,2673.94,2673.94,0.0,Paid,False,2024-02-07,2673.94
CUST-001453,INV-0000085,PAY-0000092,Enterprise,189686.67,2024-01-04,2024-02-18,45,547.47,547.47,0.0,Paid,True,2024-02-24,547.47
CUST-001470,INV-0000086,PAY-0000093,Mid-Market,62560.34,2024-01-05,2024-01-20,15,31.82,31.82,0.0,Paid,True,2024-01-15,14.03
CUST-001470,INV-0000086,PAY-0000094,Mid-Market,62560.34,2024-01-05,2024-01-20,15,31.82,31.82,0.0,Paid,True,2024-02-12,17.79
CUST-001482,INV-0000087,PAY-0000095,Enterprise,210736.19,2024-01-07,2024-02-06,30,2791.81,2791.81,0.0,Paid,False,2024-02-05,2791.81
CUST-001516,INV-0000088,PAY-0000096,Mid-Market,26547.52,2024-01-02,2024-02-01,30,13.19,13.19,0.0,Paid,False,2024-01-27,13.19
CUST-001521,INV-0000089,PAY-0000097,Mid-Market,25047.13,2024-01-05,2024-01-20,15,291.6,291.6,0.0,Paid,False,2024-01-14,291.6
CUST-001541,INV-0000090,PAY-0000098,Mid-Market,69433.89,2024-01-01,2024-01-16,15,105.08,105.08,0.0,Paid,False,2024-01-10,105.08
CUST-001576,INV-0000091,PAY-0000099,Small Business,3941.0,2024-01-04,2024-02-03,30,317.23,317.23,0.0,Paid,False,2024-01-27,317.23
CUST-001588,INV-0000092,PAY-0000100,Mid-Market,46595.41,2024-01-03,2024-02-17,45,247.39,247.39,0.0,Paid,True,2024-03-21,247.39
CUST-001599,INV-0000093,PAY-0000101,Small Business,9682.95,2024-01-04,2024-01-19,15,34.3,34.3,0.0,Paid,False,2024-01-09,34.3
CUST-001608,INV-0000094,PAY-0000102,Small Business,14757.44,2024-01-03,2024-02-02,30,179.66,179.66,0.0,Paid,True,2024-02-08,179.66
CUST-001608,INV-0000095,PAY-0000103,Small Business,14757.44,2024-01-02,2024-02-01,30,156.56,156.56,0.0,Paid,False,2024-01-30,156.56
CUST-001713,INV-0000096,PAY-0000104,Enterprise,413012.54,2024-01-05,2024-02-19,45,1396.32,1396.32,0.0,Paid,False,2024-02-14,1396.32
CUST-001713,INV-0000097,PAY-0000105,Enterprise,413012.54,2024-01-05,2024-02-19,45,479.12,479.12,0.0,Paid,True,2024-03-17,479.12
CUST-001728,INV-0000098,PAY-0000106,Enterprise,447882.53,2024-01-04,2024-01-19,15,46.69,46.69,0.0,Paid,True,2024-01-14,26.05
CUST-001728,INV-0000098,PAY-0000107,Enterprise,447882.53,2024-01-04,2024-01-19,15,46.69,46.69,0.0,Paid,True,2024-01-27,20.64
CUST-001728,INV-0000099,PAY-0000108,Enterprise,447882.53,2024-01-04,2024-01-19,15,100.66,100.66,0.0,Paid,True,2024-01-14,58.39
CUST-001728,INV-0000099,PAY-0000109,Enterprise,447882.53,2024-01-04,2024-01-19,15,100.66,100.66,0.0,Paid,True,2024-02-05,42.27
CUST-001728,INV-0000100,PAY-0000110,Enterprise,447882.53,2024-01-02,2024-01-17,15,252.83,252.83,0.0,Paid,False,2024-01-11,252.83
CUST-001733,INV-0000101,PAY-0000111,Enterprise,131378.82,2024-01-06,2024-02-20,45,24.75,24.75,0.0,Paid,False,2024-02-15,24.75
CUST-001744,INV-0000102,PAY-0000112,Enterprise,473542.4,2024-01-03,2024-02-02,30,26.72,26.72,0.0,Paid,True,2024-02-16,26.72
CUST-001744,INV-0000103,PAY-0000113,Enterprise,473542.4,2024-01-04,2024-02-03,30,46.15,46.15,0.0,Paid,False,2024-01-30,46.15
CUST-001746,INV-0000104,PAY-0000114,Enterprise,266556.16,2024-01-01,2024-01-16,15,137.25,137.25,0.0,Paid,False,2024-01-10,137.25
CUST-001746,INV-0000105,PAY-0000115,Enterprise,266556.16,2024-01-03,2024-01-18,15,51.8,51.8,0.0,Paid,False,2024-01-13,51.8
CUST-001790,INV-0000106,PAY-0000116,Mid-Market,41041.98,2024-01-02,2024-02-01,30,62.24,62.24,0.0,Paid,False,2024-02-01,62.24
CUST-001842,INV-0000107,PAY-0000117,Mid-Market,37305.25,2024-01-03,2024-02-17,45,49.74,49.74,0.0,Paid,False,2024-02-13,49.74
CUST-001842,INV-0000108,PAY-0000118,Mid-Market,37305.25,2024-01-02,2024-02-16,45,514.69,514.69,0.0,Paid,False,2024-02-09,514.69
CUST-001858,INV-0000109,PAY-0000119,Small Business,5965.58,2024-01-03,2024-02-02,30,243.36,243.36,0.0,Paid,False,2024-01-24,243.36
CUST-001859,INV-0000110,PAY-0000120,Mid-Market,23444.92,2024-01-01,2024-02-15,45,433.74,433.74,0.0,Paid,True,2024-02-28,433.74
CUST-001875,INV-0000111,PAY-0000121,Mid-Market,33649.78,2024-01-01,2024-02-15,45,66.8,66.8,0.0,Paid,False,2024-02-14,66.8
CUST-001884,INV-0000112,PAY-0000122,Small Business,8613.37,2024-01-04,2024-02-18,45,42.0,42.0,0.0,Paid,False,2024-02-14,42.0
CUST-001889,INV-0000113,PAY-0000123,Mid-Market,60572.38,2024-01-04,2024-02-03,30,1032.28,1032.28,0.0,Paid,False,2024-01-25,1032.28
CUST-001934,INV-0000114,PAY-0000124,Enterprise,203753.52,2024-01-04,2024-03-04,60,147.47,147.47,0.0,Paid,False,2024-03-02,147.47
CUST-001934,INV-0000115,PAY-0000125,Enterprise,203753.52,2024-01-03,2024-03-03,60,64.26,64.26,0.0,Paid,True,2024-03-19,64.26
CUST-001960,INV-0000116,PAY-0000126,Enterprise,73009.38,2024-01-02,2024-01-17,15,26004.29,26004.29,0.0,Paid,False,2024-01-17,26004.29
CUST-001976,INV-0000117,PAY-0000127,Enterprise,471765.17,2024-01-05,2024-01-20,15,28.03,28.03,0.0,Paid,False,2024-01-12,28.03
CUST-002005,INV-0000118,PAY-0000128,Mid-Market,46711.6,2024-01-04,2024-01-19,15,283.27,283.27,0.0,Paid,True,2024-01-30,283.27
CUST-002016,INV-0000119,PAY-0000129,Small Business,4906.69,2024-01-05,2024-02-04,30,783.22,783.22,0.0,Paid,False,2024-02-04,783.22
CUST-002034,INV-0000120,PAY-0000130,Mid-Market,19265.26,2024-01-04,2024-02-03,30,101.29,101.29,0.0,Paid,False,2024-01-24,101.29
CUST-002037,INV-0000121,PAY-0000131,Mid-Market,73898.4,2024-01-03,2024-02-02,30,1703.95,1703.95,0.0,Paid,True,2024-02-08,1703.95
CUST-002054,INV-0000122,PAY-0000132,Small Business,7595.89,2024-01-02,2024-02-01,30,1927.75,1927.75,0.0,Paid,True,2024-03-19,1927.75
CUST-002054,INV-0000123,PAY-0000133,Small Business,7595.89,2024-01-01,2024-01-31,30,46.95,46.95,0.0,Paid,True,2024-02-15,46.95
CUST-002060,INV-0000124,PAY-0000134,Small Business,5918.17,2024-01-05,2024-02-04,30,1531.75,1531.75,0.0,Paid,False,2024-02-04,1531.75
CUST-002088,INV-0000125,PAY-0000135,Small Business,3251.31,2024-01-02,2024-02-01,30,203.07,203.07,0.0,Paid,True,2024-02-04,203.07
CUST-002116,INV-0000126,PAY-0000136,Mid-Market,60007.47,2024-01-01,2024-01-31,30,50.68,50.68,0.0,Paid,True,2024-02-08,50.68
CUST-002175,INV-0000127,PAY-0000137,Small Business,11201.78,2024-01-02,2024-02-16,45,55.95,55.95,0.0,Paid,True,2024-03-03,55.95
CUST-002190,INV-0000128,PAY-0000138,Mid-Market,26260.3,2024-01-07,2024-02-21,45,268.4,268.4,0.0,Paid,False,2024-02-16,268.4
CUST-002207,INV-0000129,PAY-0000139,Enterprise,466698.95,2024-01-01,2024-01-31,30,3232.73,3232.73,0.0,Paid,True,2024-02-02,3232.73
CUST-002215,INV-0000130,PAY-0000140,Enterprise,334381.7,2024-01-07,2024-01-22,15,89.16,89.16,0.0,Paid,False,2024-01-14,89.16
CUST-002238,INV-0000131,PAY-0000141,Small Business,14408.38,2024-01-08,2024-02-07,30,139.54,139.54,0.0,Paid,False,2024-01-29,139.54
CUST-002292,INV-0000132,PAY-0000142,Mid-Market,61401.2,2024-01-03,2024-02-02,30,52.92,52.92,0.0,Paid,False,2024-01-30,52.92
CUST-002349,INV-0000133,PAY-0000143,Enterprise,451165.35,2024-01-04,2024-02-18,45,16.0,16.0,0.0,Paid,False,2024-02-14,16.0
CUST-002353,INV-0000134,PAY-0000144,Mid-Market,10841.59,2024-01-01,2024-02-15,45,346.17,346.17,0.0,Paid,False,2024-02-10,346.17
CUST-002376,INV-0000135,PAY-0000145,Enterprise,408087.53,2024-01-01,2024-01-16,15,323.03,323.03,0.0,Paid,True,2024-02-21,323.03
CUST-002379,INV-0000136,PAY-0000146,Enterprise,431453.85,2024-01-02,2024-02-16,45,18.9,18.9,0.0,Paid,True,2024-02-28,18.9
CUST-002380,INV-0000137,PAY-0000147,Mid-Market,56879.22,2024-01-05,2024-02-04,30,438.54,438.54,0.0,Paid,True,2024-02-13,438.54
CUST-002399,INV-0000138,PAY-0000148,Small Business,9115.94,2024-01-04,2024-02-03,30,1543.39,1543.39,0.0,Paid,False,2024-01-26,1543.39
CUST-002418,INV-0000139,PAY-0000149,Mid-Market,72520.34,2024-01-04,2024-02-03,30,569.13,569.13,0.0,Paid,True,2024-03-15,569.13
CUST-002463,INV-0000140,PAY-0000150,Small Business,3729.75,2024-01-07,2024-01-22,15,207.7,207.7,0.0,Paid,False,2024-01-22,207.7
CUST-002466,INV-0000141,PAY-0000151,Mid-Market,70346.22,2024-01-03,2024-01-18,15,120.03,120.03,0.0,Paid,True,2024-02-02,120.03
CUST-002471,INV-0000142,PAY-0000152,Small Business,14324.44,2024-01-03,2024-02-17,45,117.65,117.65,0.0,Paid,False,2024-02-16,117.65
CUST-002525,INV-0000143,PAY-0000153,Mid-Market,63318.91,2024-01-07,2024-01-22,15,416.09,416.09,0.0,Paid,False,2024-01-21,416.09
CUST-002583,INV-0000144,PAY-0000154,Enterprise,493695.22,2024-01-04,2024-02-18,45,1138.14,1138.14,0.0,Paid,True,2024-02-17,425.61
CUST-002583,INV-0000144,PAY-0000155,Enterprise,493695.22,2024-01-04,2024-02-18,45,1138.14,1138.14,0.0,Paid,True,2024-03-05,712.53
CUST-002589,INV-0000145,PAY-0000156,Mid-Market,19636.27,2024-01-03,2024-02-02,30,30.32,30.32,0.0,Paid,False,2024-01-29,30.32
CUST-002611,INV-0000146,PAY-0000157,Mid-Market,23513.02,2024-01-01,2024-01-31,30,2183.07,2183.07,0.0,Paid,True,2024-02-05,2183.07
CUST-002612,INV-0000147,PAY-0000158,Mid-Market,49261.43,2024-01-03,2024-02-02,30,102.07,102.07,0.0,Paid,False,2024-01-26,102.07
CUST-002615,INV-0000148,PAY-0000159,Enterprise,180649.48,2024-01-08,2024-02-22,45,368.39,368.39,0.0,Paid,False,2024-02-15,368.39
CUST-002618,INV-0000149,PAY-0000160,Enterprise,222539.07,2024-01-03,2024-02-17,45,65.56,65.56,0.0,Paid,True,2024-03-02,65.56
CUST-002636,INV-0000150,PAY-0000161,Mid-Market,46037.23,2024-01-05,2024-01-20,15,125.94,125.94,0.0,Paid,False,2024-01-13,125.94
CUST-002663,INV-0000151,PAY-0000162,Mid-Market,35860.89,2024-01-04,2024-02-18,45,259.87,259.87,0.0,Paid,False,2024-02-09,259.87
CUST-002663,INV-0000151,PAY-0576226,Mid-Market,35860.89,2024-01-04,2024-02-18,45,259.87,259.87,0.0,Paid,False,2024-02-09,259.87
CUST-002687,INV-0000152,PAY-0000163,Mid-Market,59074.12,2024-01-01,2024-01-31,30,117.64,117.64,0.0,Paid,False,2024-01-25,117.64
CUST-002689,INV-0000153,PAY-0000164,Mid-Market,47759.23,2024-01-04,2024-02-03,30,15.49,15.49,0.0,Paid,False,2024-02-02,15.49
CUST-002712,INV-0000154,PAY-0000165,Enterprise,96673.55,2024-01-05,2024-02-19,45,1210.6,1210.6,0.0,Paid,True,2024-02-15,487.43
CUST-002712,INV-0000154,PAY-0000166,Enterprise,96673.55,2024-01-05,2024-02-19,45,1210.6,1210.6,0.0,Paid,True,2024-03-06,723.17
CUST-002717,INV-0000155,PAY-0000167,Enterprise,230037.21,2024-01-06,2024-02-05,30,218.77,218.77,0.0,Paid,False,2024-02-01,218.77
CUST-002722,INV-0000156,PAY-0000168,Small Business,12752.32,2024-01-03,2024-01-18,15,30.95,30.95,0.0,Paid,False,2024-01-17,30.95
CUST-002736,INV-0000157,PAY-0000169,Mid-Market,57865.29,2024-01-03,2024-02-17,45,134.31,134.31,0.0,Paid,False,2024-02-12,134.31
CUST-002738,INV-0000158,PAY-0000170,Enterprise,293451.36,2024-01-05,2024-01-20,15,193.2,193.2,0.0,Paid,False,2024-01-20,193.2
CUST-002789,INV-0000159,PAY-0000171,Mid-Market,65961.04,2024-01-02,2024-02-01,30,197.82,197.82,0.0,Paid,True,2024-01-28,122.46
CUST-002789,INV-0000159,PAY-0000172,Mid-Market,65961.04,2024-01-02,2024-02-01,30,197.82,197.82,0.0,Paid,True,2024-03-01,75.36
CUST-002814,INV-0000160,PAY-0000173,Mid-Market,32988.16,2024-01-07,2024-02-21,45,42.42,42.42,0.0,Paid,False,2024-02-15,42.42
